"Plot Title: IAH-5/20/21"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20895964, SEN S/N: 20895964)","Intensity, lum/ft² (LGR S/N: 20895964, SEN S/N: 20895964)","Coupler Attached (LGR S/N: 20895964)","Host Connected (LGR S/N: 20895964)","Stopped (LGR S/N: 20895964)","End Of File (LGR S/N: 20895964)"
300,05/23/21 02:45:00 PM,9.176,20.0,,,,
301,05/23/21 03:00:00 PM,9.176,48.0,,,,
302,05/23/21 03:15:00 PM,9.275,95.0,,,,
303,05/23/21 03:30:00 PM,9.472,200.0,,,,
304,05/23/21 03:45:00 PM,9.472,59.0,,,,
305,05/23/21 04:00:00 PM,9.472,160.0,,,,
306,05/23/21 04:15:00 PM,9.472,192.0,,,,
307,05/23/21 04:30:00 PM,9.472,68.0,,,,
308,05/23/21 04:45:00 PM,9.571,59.0,,,,
309,05/23/21 05:00:00 PM,9.669,122.0,,,,
310,05/23/21 05:15:00 PM,9.768,117.0,,,,
311,05/23/21 05:30:00 PM,9.768,95.0,,,,
312,05/23/21 05:45:00 PM,9.866,38.0,,,,
313,05/23/21 06:00:00 PM,9.768,25.0,,,,
314,05/23/21 06:15:00 PM,9.768,22.0,,,,
315,05/23/21 06:30:00 PM,9.669,26.0,,,,
316,05/23/21 06:45:00 PM,9.768,18.0,,,,
317,05/23/21 07:00:00 PM,9.768,10.0,,,,
318,05/23/21 07:15:00 PM,9.768,8.0,,,,
319,05/23/21 07:30:00 PM,9.768,0.0,,,,
320,05/23/21 07:45:00 PM,9.768,1.0,,,,
321,05/23/21 08:00:00 PM,9.768,0.0,,,,
322,05/23/21 08:15:00 PM,9.768,0.0,,,,
323,05/23/21 08:30:00 PM,9.472,0.0,,,,
324,05/23/21 08:45:00 PM,9.571,0.0,,,,
325,05/23/21 09:00:00 PM,9.373,0.0,,,,
326,05/23/21 09:15:00 PM,9.669,0.0,,,,
327,05/23/21 09:30:00 PM,9.669,0.0,,,,
328,05/23/21 09:45:00 PM,9.669,0.0,,,,
329,05/23/21 10:00:00 PM,9.669,0.0,,,,
330,05/23/21 10:15:00 PM,9.669,0.0,,,,
331,05/23/21 10:30:00 PM,9.669,0.0,,,,
332,05/23/21 10:45:00 PM,9.669,0.0,,,,
333,05/23/21 11:00:00 PM,9.669,0.0,,,,
334,05/23/21 11:15:00 PM,9.669,0.0,,,,
335,05/23/21 11:30:00 PM,9.669,0.0,,,,
336,05/23/21 11:45:00 PM,9.669,0.0,,,,
337,05/24/21 12:00:00 AM,9.669,0.0,,,,
338,05/24/21 12:15:00 AM,9.669,0.0,,,,
339,05/24/21 12:30:00 AM,9.571,0.0,,,,
340,05/24/21 12:45:00 AM,9.571,0.0,,,,
341,05/24/21 01:00:00 AM,9.472,0.0,,,,
342,05/24/21 01:15:00 AM,9.472,0.0,,,,
343,05/24/21 01:30:00 AM,9.472,0.0,,,,
344,05/24/21 01:45:00 AM,9.472,0.0,,,,
345,05/24/21 02:00:00 AM,9.571,0.0,,,,
346,05/24/21 02:15:00 AM,9.571,0.0,,,,
347,05/24/21 02:30:00 AM,9.571,0.0,,,,
348,05/24/21 02:45:00 AM,9.571,0.0,,,,
349,05/24/21 03:00:00 AM,9.472,0.0,,,,
350,05/24/21 03:15:00 AM,9.472,0.0,,,,
351,05/24/21 03:30:00 AM,9.472,0.0,,,,
352,05/24/21 03:45:00 AM,9.373,0.0,,,,
353,05/24/21 04:00:00 AM,9.373,0.0,,,,
354,05/24/21 04:15:00 AM,9.373,0.0,,,,
355,05/24/21 04:30:00 AM,9.373,0.0,,,,
356,05/24/21 04:45:00 AM,9.373,0.0,,,,
357,05/24/21 05:00:00 AM,9.373,0.0,,,,
358,05/24/21 05:15:00 AM,9.373,5.0,,,,
359,05/24/21 05:30:00 AM,9.373,6.0,,,,
360,05/24/21 05:45:00 AM,9.373,24.0,,,,
361,05/24/21 06:00:00 AM,9.373,30.0,,,,
362,05/24/21 06:15:00 AM,9.373,24.0,,,,
363,05/24/21 06:30:00 AM,9.373,20.0,,,,
364,05/24/21 06:45:00 AM,9.373,36.0,,,,
365,05/24/21 07:00:00 AM,9.373,75.0,,,,
366,05/24/21 07:15:00 AM,9.373,94.0,,,,
367,05/24/21 07:30:00 AM,9.373,49.0,,,,
368,05/24/21 07:45:00 AM,9.373,91.0,,,,
369,05/24/21 08:00:00 AM,9.373,128.0,,,,
370,05/24/21 08:15:00 AM,9.373,61.0,,,,
371,05/24/21 08:30:00 AM,9.373,42.0,,,,
372,05/24/21 08:45:00 AM,9.373,24.0,,,,
373,05/24/21 09:00:00 AM,9.472,168.0,,,,
374,05/24/21 09:15:00 AM,9.472,116.0,,,,
375,05/24/21 09:30:00 AM,9.472,176.0,,,,
376,05/24/21 09:45:00 AM,9.373,176.0,,,,
377,05/24/21 10:00:00 AM,9.373,42.0,,,,
378,05/24/21 10:15:00 AM,9.373,124.0,,,,
379,05/24/21 10:30:00 AM,9.373,152.0,,,,
380,05/24/21 10:45:00 AM,9.373,105.0,,,,
381,05/24/21 11:00:00 AM,9.373,272.0,,,,
382,05/24/21 11:15:00 AM,9.373,123.0,,,,
383,05/24/21 11:30:00 AM,9.373,288.0,,,,
384,05/24/21 11:45:00 AM,9.373,288.0,,,,
385,05/24/21 12:00:00 PM,9.472,192.0,,,,
386,05/24/21 12:15:00 PM,9.571,216.0,,,,
387,05/24/21 12:30:00 PM,9.571,232.0,,,,
388,05/24/21 12:45:00 PM,9.571,320.0,,,,
389,05/24/21 01:00:00 PM,9.669,432.0,,,,
390,05/24/21 01:15:00 PM,9.768,480.0,,,,
391,05/24/21 01:30:00 PM,9.768,448.0,,,,
392,05/24/21 01:45:00 PM,9.866,320.0,,,,
393,05/24/21 02:00:00 PM,9.768,464.0,,,,
394,05/24/21 02:15:00 PM,9.768,448.0,,,,
395,05/24/21 02:30:00 PM,9.768,224.0,,,,
396,05/24/21 02:45:00 PM,9.768,352.0,,,,
397,05/24/21 03:00:00 PM,9.768,208.0,,,,
398,05/24/21 03:15:00 PM,9.768,304.0,,,,
399,05/24/21 03:30:00 PM,9.768,304.0,,,,
400,05/24/21 03:45:00 PM,9.768,320.0,,,,
401,05/24/21 04:00:00 PM,9.669,111.0,,,,
402,05/24/21 04:15:00 PM,9.768,256.0,,,,
403,05/24/21 04:30:00 PM,9.768,248.0,,,,
404,05/24/21 04:45:00 PM,9.768,184.0,,,,
405,05/24/21 05:00:00 PM,9.768,168.0,,,,
406,05/24/21 05:15:00 PM,9.768,144.0,,,,
407,05/24/21 05:30:00 PM,9.669,144.0,,,,
408,05/24/21 05:45:00 PM,9.669,106.0,,,,
409,05/24/21 06:00:00 PM,9.669,87.0,,,,
410,05/24/21 06:15:00 PM,9.669,70.0,,,,
411,05/24/21 06:30:00 PM,9.669,51.0,,,,
412,05/24/21 06:45:00 PM,9.571,40.0,,,,
413,05/24/21 07:00:00 PM,9.571,22.0,,,,
414,05/24/21 07:15:00 PM,9.571,14.0,,,,
415,05/24/21 07:30:00 PM,9.571,7.0,,,,
416,05/24/21 07:45:00 PM,9.472,2.0,,,,
417,05/24/21 08:00:00 PM,9.472,0.0,,,,
418,05/24/21 08:15:00 PM,9.472,0.0,,,,
419,05/24/21 08:30:00 PM,9.472,0.0,,,,
420,05/24/21 08:45:00 PM,9.472,0.0,,,,
421,05/24/21 09:00:00 PM,9.472,0.0,,,,
422,05/24/21 09:15:00 PM,9.275,0.0,,,,
423,05/24/21 09:30:00 PM,9.077,0.0,,,,
424,05/24/21 09:45:00 PM,8.978,0.0,,,,
425,05/24/21 10:00:00 PM,8.879,0.0,,,,
426,05/24/21 10:15:00 PM,8.879,0.0,,,,
427,05/24/21 10:30:00 PM,8.779,0.0,,,,
428,05/24/21 10:45:00 PM,8.879,0.0,,,,
429,05/24/21 11:00:00 PM,8.879,0.0,,,,
430,05/24/21 11:15:00 PM,8.978,0.0,,,,
431,05/24/21 11:30:00 PM,8.978,0.0,,,,
432,05/24/21 11:45:00 PM,8.978,0.0,,,,
433,05/25/21 12:00:00 AM,9.077,0.0,,,,
434,05/25/21 12:15:00 AM,9.077,0.0,,,,
435,05/25/21 12:30:00 AM,9.077,0.0,,,,
436,05/25/21 12:45:00 AM,9.077,0.0,,,,
437,05/25/21 01:00:00 AM,9.077,0.0,,,,
438,05/25/21 01:15:00 AM,9.077,0.0,,,,
439,05/25/21 01:30:00 AM,9.077,0.0,,,,
440,05/25/21 01:45:00 AM,9.176,0.0,,,,
441,05/25/21 02:00:00 AM,9.176,0.0,,,,
442,05/25/21 02:15:00 AM,9.176,0.0,,,,
443,05/25/21 02:30:00 AM,9.176,0.0,,,,
444,05/25/21 02:45:00 AM,9.176,0.0,,,,
445,05/25/21 03:00:00 AM,9.077,0.0,,,,
446,05/25/21 03:15:00 AM,9.077,0.0,,,,
447,05/25/21 03:30:00 AM,9.077,0.0,,,,
448,05/25/21 03:45:00 AM,9.077,0.0,,,,
449,05/25/21 04:00:00 AM,9.077,0.0,,,,
450,05/25/21 04:15:00 AM,9.077,0.0,,,,
451,05/25/21 04:30:00 AM,8.978,0.0,,,,
